,text
247,"это просто ужас! по совету продавца на свой русский S заказала размер M и я в нем утонула. боди ОЧЕНЬ большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!"
248,"неплохая близка, но просвечивает"
249,"не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду"
250,Маломерят. Рукава и длина оказались коротки
251,"Качество ткани очень неожиданное...неожиданно хлюпенькое... Рисунок с размытыми контурами, не яркий... В общем странная вещица, скорее более дачный вариант. Очень жаль, очень нравилась по описанию и картинке"
252,размеры не соответствуют разница 6-10 см.
253,"Платье пришло с дыркой. Продавец просил не открывать спор, но ничего не предлагал и тянул время. Спор открыла, деньги вернули. Если бы не дыра на видном месте, то платье классное. "
254,"К сожалению куртка пришла маленького размер, на мой 44 L не подошёл, очень расстроена!"
255,Размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.
256,"Цвет и размер соответствует описанию. ОГ 92, рост 164 - размер L, подошел идеально. Оплатила 11.11.2017 -01.12.2017 получила на почте. Брала за 630 рублей. Магазин рекомендую как надежный."
257,"платье хорошее,но длина подола не соответствует("
258,"Бракованная, пришло с дырочкой"
259,"Я не длинная. Платье очень короткое, еле прикрывает ""то самое место"". Носить не буду."
260,"Начиталась отзывов и поверила. А зря. На свои объемы - объем груди 89, объем талии 65, выбрала размер L, он мне велик. Лучше бы взяла м."
261,"хорошая блузка,села как на картинке, брала xl на объём груди 90, рост 164, (вес 57 если кому то нужно) продавца рекомендую"
262,"Блузка шла меньше месяца в Челябинскую область. Ткань тонкая, просвечивает. Так же обнаружила что один рукав криво пришит. Но чего было ожидать за 280 рублей."
263,талия очень завышена и широкая. надо будет ушить и в груди побокам торчит . ткань тянется. в целом пойдет
264,"пижама шла в Приморье 65 дней, большая по размеру , качество нормальное"
