,text,target
96,"Ходунки очень плохого качества! Нитки торчат, и они постоянно сбиваются. Дочке они совсем не подходят, и я очень разочарована.",товары для детей
97,"Ходунки пришли через две недели, хотя обещали быстрое доставление. Деньги я так и не получила обратно, и продавец не ответил на мои сообщения. Очень разочарована покупкой.",товары для детей
98,"Ножки не очень крепкие, и они постоянно ломаются. Несмотря на то, что они не названы в отзыве, очевидно, что это ходунки.",нет товара
99,"Посылка так и не дошла до меня, хотя я заплатила дополнительные деньги за отслеживание. Продавец не вернул мне деньги, и я очень расстроена.",нет товара
100,"Прыгунки просто отличные! Дочке очень понравились, она теперь с большим удовольствием играет на улице.",товары для детей
101,"Приобрела прыгунки для сына, но качество оставляет желать лучшего. На них видны следы использования и они не такие мягкие, как обещали.",товары для детей
102,"Купила прыгунки для дочки, но доставка заняла целых две недели. Когда пришли, оказалось, что они совсем не соответствуют описанию в интернете.",товары для детей
103,"Приобрела прыгунки, но заметила, что они немного прилипают к земле из-за пыльцы. Не могу сказать, что это серьезный дефект, но все же.",товары для детей
104,"Ожидала прыгунки уже несколько дней, но так и не пришли. Деньги тоже не вернули, хотя заказ был оформлен.",нет товара
105,"Три колеса на месте, ребенок в восторге. Велосипед удобный, руль не скользит, можно ездить даже без перчаток.",товары для детей
106,"Ткань велосипеда быстро порвалась, в местах швов видны нитки. Дочке очень расстроилась, когда увидела.",товары для детей
107,"Велосипед не пришел, открыла спор, продавец вернул деньги, но посылку так и не получила.",нет товара
108,"Велосипед короткий, на фото он выглядит длиннее. Дочка не может ездить на нем.",товары для детей
109,"Упаковка была слегка повреждена, но велосипед сам в хорошем состоянии. Продавец оперативно все исправил.",нет товара
110,"Беговел просто замечательный! Дочка очень довольна, ездит на нем каждый день и даже не просит новый. Он прочный и выглядит отлично.",товары для детей
111,Беговел оказался очень маленьким для моей дочки. Из-за этого она постоянно падает и травмируется. Качество ткани тоже оставляет желать лучшего – быстро рвётся.,товары для детей
112,"Беговел не пришёл уже две недели, и денег мне не вернули. Я даже открыла спор, но всё равно ничего не получилось. Доставка просто ужасная!",товары для детей
113,"По краю торчат нитки. Беговел совсем не соответствует описанию на сайте. Цвет другой, а ткань рваная. Очень разочарован покупкой.",товары для детей
114,Заказ не пришёл и денег нет (((((((((((   стрееееееем  продавцу     фуууууууууу,нет товара
115,Дочь очень довольна этим детским шампунем. Он не вызывает раздражения и кожа после использования становится мягче.,товары для детей
116,"Детский шампунь оказался слишком жестким для моей дочери, кожа после использования была сухой и чрезмерно зудела. Очень разочарован покупкой.",товары для детей
117,"Детский шампунь не пришел неделю назад, хотя заказ был сделан два дня назад. Деньги пока не вернули и я открыла спор.",товары для детей
118,"Шампунь течет из флакона и быстро исчезает, хотя обещали объем побольше. На упаковке было написано 500 мл, а получилось всего 300.",нет товара
119,"Пакет для шампуня пришел сломанным, содержимое вылилось на пол. Поставщик не ответил на мои сообщения.",нет товара
120,Эти влажные салфетки просто находка для моего ребенка! Он их использует после туалета и они помогают ему оставаться чистым. Мы довольны!,товары для детей
121,Влажные салфетки очень сухие и не помогают моему ребенку очищаться после еды. Очень разочарован качеством этой продукции.,товары для детей
122,"Заказал влажные салфетки для ребенка, но они так и не прибыли. Деньги так и не вернулись, продавец даже не ответил на мои сообщения.",нет товара
123,"Плотность ткани очень низкая, и они постоянно скользят с тела моего ребенка. В общем, неудобство.",товары для детей
124,"Получил посылку через месяц после заказа, а на упаковке указано, что будет доставлено в течение недели. Доставка занимает слишком много времени.",нет товара
125,"Ванночка для купания просто отличная! Моя дочка в восторге, она любит играть в ней и даже не замечает, что это ванночка для купания. Очень удобная и практичная вещь.",товары для детей
126,"Ванночка для купания оказалась очень некачественной. На второй день использования начало рваться ткань. Дочка плакала от боли, когда ее туда кладешь. Не рекомендую.",товары для детей
127,"Ванночка для купания так и не пришла, хотя я ждала ее уже три месяца. Деньги продавец не вернул и даже не открыл спор. Очень разочарована и не рекомендую этого продавца.",товары для детей
128,Ванночка для купания оказалась маленькой для моего ребенка. Ткань холодная и не очень приятная к телу. Дочке она больше похожа на мешок.,товары для детей
129,"Доставка заняла почти месяц, а когда ванночка для купания пришла, то оказалось, что упаковка была повреждена. Пришлось отказаться от покупки.",нет товара
130,Отличный горшок для моей дочки! Она очень рада и всегда просит пойти в туалет. Отправили быстро и в отличном состоянии.,товары для детей
131,Горшок не соответствует описанию. Качество ткани оставляет желать лучшего – есть линии и неровности. Сразу же открыла спор и вернула деньги.,товары для детей
132,"Горшок пришел через месяц после заказа, хотя обещали доставку за 5 дней. Когда я позвонила в службу поддержки, мне сказали, что проблема решена, но деньги не вернули.",товары для детей
133,"Горшок очень тонкий и просвечивает. Нитки торчат, в некоторых местах даже не прошито. Несмотря на то, что заказывала именно этот товар, его качество оставляет желать лучшего.",нет товара
134,"Доставка заняла почти неделю вместо обещанных трех дней. Упаковка была слегка повреждена, но сам товар остался целым. Все в порядке, просто хотелось бы получить свои деньги обратно.",нет товара
135,"Эта радионяня просто замечательная! Мой ребенок спит спокойно, а я всегда уверена, что он в безопасности. Качество звука отличное, и сигнал передачи стабильный.",товары для детей
136,Радионяня оказалась очень шумной и постоянно слетала с канала. Я перестала ее использовать из-за постоянных помех. Качество звука оставляет желать лучшего.,товары для детей
137,"Продавец обещал доставить радионяню за неделю, но прошло уже три месяца, и она так и не пришла. Деньги вернули только через месяц после подачи жалобы.",товары для детей
138,После нескольких дней использования радионяня начала слетать с канала и давать много помех. Постоянные проблемы с качеством сигнала разочаровали.,товары для детей
139,"Посылка до сих пор не дошла до меня, хотя прошло уже две недели. Упаковка была повреждена, и внутри находился только коробка без товара.",нет товара
140,"Видеоняня работает отлично, ребенок спокоен и засыпает быстро. Очень рада что нашла этот продукт.",товары для детей
141,"Видеоняня не соответствует описанию. На одной стороне экрана видны горизонтальные полосы, ребенок не может нормально видеть изображение.",товары для детей
142,"Видеоняню получил через неделю после заказа, хотя обещали раньше. Поставщик не ответил на мои вопросы о сроке доставки.",товары для детей
143,"Экран видеоняни слегка треснутый, видно несколько мелких царапин. Стоит обратить внимание на качество.",товары для детей
144,"Видеоняню так и не прислали, хотя деньги вернули сразу же после подачи заявления о недоставке. Доставка просто ужасная.",товары для детей
145,"Сортер для дочки просто отличный! Он очень интересный и разнообразный, ребенок с удовольствием занимается с ним. Качество сборки на высоте, никаких проблем не возникло.",товары для детей
146,"Приобрела сортер для дочки, но качество его оставляет желать лучшего. Кубики быстро начали скользить, а также начал отклеиваться рисунок на стенках. Очень разочарована покупкой.",товары для детей
147,"Заказала сортер для дочки, но доставка заняла почти три недели. При этом, когда я обратилась в службу поддержки, мне ответили, что это обычное время доставки и ничего не могут сделать. Очень разочарована такой работой.",товары для детей
148,"Пришел сортер, но он оказался слишком маленький. Кубики были слишком маленькими для моей дочки, и она их не смогла использовать. Материал тоже оказался тонким и неудобным.",нет товара
149,"Прибыла посылка за три недели вместо обещанных семи дней. Упаковка была повреждена, хотя товар сам по себе оказался в хорошем состоянии. Деньги вернули через месяц после обращения.",нет товара
150,"Пирамидка просто отличная! Дочке очень понравилась, она каждый день просит ее вынуть из коробки и строить разные фигуры. Качество отличное, никаких косяков.",товары для детей
151,"Пирамидка была куплена для сына, но качество оставляет желать лучшего. Структура слабая, ребёнок разбирал её в первый же день. Очень разочарован покупкой.",товары для детей
152,"Пирамидка не пришла, хотя заказ сделала месяц назад. Деньги не вернули и отслеживание отсутствовало. Продавец вообще не отвечает на вопросы, очень разочарована.",нет товара
153,"Пирамидка синтетическая, хотя на картинке выглядит натуральной. Хотела купить для сына, чтобы он занимался логикой, но теперь буду искать другой вариант.",товары для детей
154,"Посылка пришла меньше месяца, но доставка была медленной. Бумажная упаковка тоже оставила желать лучшего, бумага слегка повреждена. В целом, всё в порядке.",нет товара
155,Отличные детские пазлы! Ребенок увлечен их сборкой уже несколько дней. Очень рада покупкой.,товары для детей
156,Детские пазлы очень плохого качества. Много кусочков отвалилось уже после первого дня сборки. Очень разочарована!,товары для детей
157,"Доставка была очень долгой, хотя обещали всего неделю. Деньги не вернули до сих пор. Продавец не ответил ни на один мой вопрос.",нет товара
158,"Пазлы были слегка повреждены в упаковке, кое-какие кусочки отклеились. Но сам товар не был упомянут.",нет товара
159,"Посылка пришла быстро, но коробка повреждена. Деньги не вернули сразу, хотя время покупателя закончилось.",нет товара
160,"Дочке очень понравилось это детское мыло. Она его постоянно просит использовать, говорит, что это ее любимое. Цвет яркий и привлекательный, как на фото.",товары для детей
161,"Не рекомендую этот продукт. Мыло очень быстро истончилось после первого использования и не имеет запаха. Дочке очень расстроилась, когда обнаружила это.",товары для детей
162,"Мыло так и не пришло, хотя я уже месяц жду. Деньги не вернули и до сих пор не могу понять, почему так долго. Написала много жалоб, но ответа нет.",нет товара
163,"Обратила внимание на то, что мыло имеет неровную поверхность и видимые дефекты. Считаю, что это не соответствует ожиданиям для детского продукта.",нет товара
164,"Получила коробку с мылом, но внутри было всего пусто. Связалась с продавцом, но они не могут объяснить ситуацию. Очень разочарована такой упаковкой.",нет товара
165,"Термометр для воды оказался очень удобным и точным. Дочке очень понравился, она теперь может сама проверять температуру воды перед купанием.",товары для детей
166,"Термометр для воды оказался бракованным. При первом же использовании сломался, хотя я заказывала качественный товар.",товары для детей
167,"Заказал термометр для воды, но доставка заняла почти три недели. Дочка уже неделю ждала его, чтобы проверять воду.",нет товара
168,"Верхняя часть термометра для воды сильно ржавеет после использования, хотя по описанию такой проблемы не было.",товары для детей
169,"Упаковка термометра для воды была повреждена во время доставки. К сожалению, когда я его получил, он был сломан.",нет товара
170,"Эта пустышка просто идеальна для моего ребенка! Он так любит ее, что всегда просит ее с собой. Материал мягкий и приятный на ощупь, а дизайн с логотипом добавляет ей дополнительный шарм. Я обязательно куплю еще одну для него.",товары для детей
171,"Пустышка очень плохого качества. Она начала линять уже после первой стирки и теперь имеет неприятный запах. Я была разочарована этим товаром и считаю, что он не стоит тех денег, которые я на него потратила.",товары для детей
172,"Пустышка так и не дошла до меня. Продавец отправил её в другой город вместо указанного. Я обратилась к нему несколько раз, но он не ответил ни разу. В итоге деньги не вернулись, а пустышка так и не доехала.",товары для детей
173,Пластмассовая пустышка очень твердая и неудобная для ребенка. Она постоянно скользит из его рта и мне приходится постоянно её поддерживать. Это неудобно и бесполезно.,товары для детей
174,"Пакет с пустышками пришел разорванным, хотя я не видела никаких признаков повреждения при заказе. Доставка заняла больше времени, чем обещалось, и упаковка была очень хлипкой. Я не рекомендую эту компанию.",нет товара
175,Прорезыватель для зубов оказался очень удобным и помогает малышу справиться с дискомфортом во время прорезывания. Ребенок с удовольствием его использует.,товары для детей
176,"Прорезыватель для зубов оказался очень хрупким. После нескольких дней использования начал ломаться и сломался совсем. Доставка была своевременной, но качество самого продукта оставляет желать лучшего.",товары для детей
177,"Прорезыватель для зубов пришел только через неделю после заказа. Качество обслуживания оставляет желать лучшего, но сам товар оказался на высоте.",товары для детей
178,"Прорезыватель для зубов оказался слишком большим для моей дочери. Материал мягкий, но форма не подходит для ее возраста. Лучше обратить внимание на размеры перед покупкой.",товары для детей
179,"Посылка дошла быстро, но упаковка была повреждена. Прорезыватель для зубов остался целым, но доставка могла быть лучше.",нет товара
180,Царапки для моей дочки оказались просто идеальными! Она очень довольна и часто просит их надевать. Доставка была быстрой и безопасной.,товары для детей
181,"Царапки были куплены для дочери, но они очень плохо сewn. Нитки торчат со всех сторон и ребенок постоянно царапается. Пришлось открыть спор и вернуть деньги.",товары для детей
182,"Царапки пришли очень быстро, но качество оставляет желать лучшего. Дочка была разочарована и не хочет их надевать. Я открыла спор и вернула деньги.",товары для детей
183,"Царапки имеют небольшие дырочки и потертости, хотя на фотографии выглядели идеально. Я не могу сказать, что это дефект царапок, но они совсем не такие, как на картинке.",товары для детей
184,"Царапки пришли немного позже, чем обещали, и упаковка была повреждена. Пришлось обратиться в службу доставки для решения проблемы.",нет товара
185,Чепчик просто отличный! Мой ребенок очень любит его носить. Он отлично держит форму и не вызывает аллергии.,товары для детей
186,"Чепчик очень некачественный. Сразу видно, что сделан из дешевого материала. Край сильно рвется, и ребенок постоянно его теряет.",товары для детей
187,"Чепчик так и не приехал, хотя я ждала его уже две недели. Возврат денег затянулся на месяц, хотя споры были решены быстро.",товары для детей
188,"Верх чепчика слишком тонкий, а нижняя часть не держит форму. Когда надеваешь, видно, что он не сидит правильно.",товары для детей
189,"Отправили пакет с несколькими чепчиками, но они так и не дошли до меня. Доставка заняла больше месяца, и когда я получила посылку, она была повреждена.",нет товара
190,Пользуюсь этим детским кремом уже неделю и очень довольна результатом. Сыну 2 года и он без проблем его использует. Кожа у него стала мягче и гладче.,товары для детей
191,"Купил детский крем для своей дочери, но он оказался слишком сухим и не помог с кожными высыпаниями. Кожа у нее стала еще более раздраженной после использования.",товары для детей
192,"Заказал детский крем для дочки, но доставка задержалась на две недели. Когда получил, крем оказался испорченным и сильно пахло плесенью. Продавец даже не предложил замену.",нет товара
193,"На фото крем выглядел более светлым, а при получении оказался темнее. При использовании начал отсыреть и появился запах плесени. Кожа ребенка стала красной и зудящей.",товары для детей
194,"Крем пришел в коробке с поврежденной упаковкой. Хотя сам крем не поврежден, процесс получения товара был неудобным и стрессовым.",нет товара
195,Присыпка просто отличная! Дочка сразу полюбила ее и постоянно просит надеть. Она хорошо смягчает кожу и не вызывает раздражения.,товары для детей
196,"Присыпка оставляет много следов на одежде, а также имеет неприятный запах. Качество оставляет желать лучшего.",товары для детей
197,"Заказала присыпку для дочки на размер больше, чтобы она могла использовать ее дольше. Однако, она не пришла до последнего дня. Очень расстроена!",товары для детей
198,"На фото видно, что присыпка имеет неровные края и в некоторых местах отсутствует. Надеюсь, это случайность.",товары для детей
199,"Получила коробку с присыпкой, но внутри оказалась пустая упаковка. Доставка была быстрой, но товар явно не соответствовал ожиданиям.",нет товара
200,"Ниблер отличный, ребенок в него влюбился сразу. Он такой яркий и веселый!",товары для детей
201,"Ниблер оказался очень маленьким, качество ткани оставляет желать лучшего. Ребенок постоянно дергает его и пытается снять.",товары для детей
202,"Получил ниблер, но доставка заняла целую неделю. Деньги вернули только через месяц после обращения.",товары для детей
203,"Нижняя часть ниблера рваная, видно, что его не тщательно собрали. Ребенок уже не хочет его носить.",товары для детей
204,"Пришел коробок с игрушкой, но не указано, что это ниблер. Доставка была быстрой, но товара внутри не было.",нет товара
205,Стерилизатор для бутылочек просто отличный! Спасибо продавцу за быструю доставку и качественный товар. Дочка с удовольствием его использует.,товары для детей
206,"Стерилизатор для бутылочек оказался очень маленьким для моей дочки. Невозможно пристроить его на столик, а качество сборки оставляет желать лучшего. Очень разочарован!",товары для детей
207,"Заказала стерилизатор для бутылочек два месяца назад, но до сих пор не получил. Даже звонила в службу поддержки, но ответа никакого. Очень разочарована.",товары для детей
208,Не соответствует фото. Стерилизатор для бутылочек оказался слишком громоздким и неудобным. Качество сборки тоже оставляет желать лучшего.,товары для детей
209,"Доставка очень долгая. Пришла упаковка только через неделю после заказа. Пакеты были слегка повреждены, но сам товар в порядке.",нет товара
210,"Отличная кукла для моей дочки! Она очень любит играть с ней и всегда просит ее взять с собой в детский сад. Качество отличное, детали выполнены аккуратно и кукла легко чистится.",товары для детей
211,"Кукла оказалась с браком - глаза вылезли наружу. Дочка была очень расстроена и потребовала возврат. Продавец ответил, что это не их вина и отказывается менять или возвращать деньги.",товары для детей
212,"Кукла не пришла уже неделю, а деньги вернули только через две недели после того, как я открыла спор. Очень разочарована такой службой доставки.",товары для детей
213,"Игрушка просела в центре и теперь не стоит ровно. Дочке очень жаль, но она не может играть с ней. К сожалению, продавец не предлагает обмен или возврат.",товары для детей
214,"Не пришла игрушка. Я написала заявление на возврат денег, но до сих пор их не вернули. Весь процесс доставки был непростым и мучительным.",нет товара
